SEZNAM MUŽSKÝCH JMEN,,,,,,,,,,
Jména J,,Jména K,,Jména L,,Jména M,,Jména N,,
JACEK,,KAAPO,,LACO,,MACIEJ,,NAASIM,,
JACK,,KAEL,,LAD,,MAGNUS,,NABIL,,
JACKSON,,KAIDEN,,LADISLAV,,MAGOMED,,NACER,,
JACOBO,,KAIE,,LAITH,,MAHDI,,NADAV,,
JACOPO,,KAIO,,LAJOS,,MAHMOUD,,NADER,,
JACQUES,,KAITO,,LAJOŠ,,MAHMUD,,NADIM,,
JAD,,KAJETÁN,,LAMBERT,,MAIK,,NAEL,,
JADEN,,KALANI,,LARIS,,MAIKEL,,NACHMAN,,
JÁCHYM,,KALEV,,LARS,,MAISUR,,NAIL,,
JAKE,,KALKI,,LARSEN,,MAJED,,NAIM,,
JAKOB,,KALLEN,,LÁSZLÓ,,MAJK,,NAJM,,
JÁKOB,,KALU,,LATIMER,,MAJKL,,NALIYAPULWE,,
JAKOV,,KALMAN,,LATINO,,MAKAR,,NAM,,
JAKUB,,KÁLMÁN,,LAURENT,,MAKSAR,,NAMAN,,
JALAL,,KAMAL,,LAURENTIU,,MAKSIM,,NAMORY,,
JAMES,,KAMEL,,LAVIE,,MAKSYM,,NANYA,,
JAMESON,,KAMIL,,LAVIN,,MAKSYMILIAN,,NAOTO,,
JAMIL,,KAMILO,,LAZAR,,MALACHI,,NAREK,,
JAMSHID,,KANENE,,LAZARO,,MALEK,,NAS,,
JÁN,,KANOA,,LÁZARO,,MALIK,,NASER,,
JANEK,,KAONE,,LAZAROS,,MALTE,,NASREDDIN,,
JANIK,,KARAM,,LEAN,,MALVIN,,NASSIM,,
JANIS,,KAREEM,,LEANDER,,MAMDOUH,,NATAN,,
JANISLAV,,KAREN,,LEANDRO,,MANDJOU,,NÁTAN,,
JANKO,,KARIM,,LE-ČCHIEN,,MANFRED,,NATANIEL,,
JANNIK,,KARÍM,,LEDIAN,,MANFRÉD,,NATANIELL,,
JANNIS,,KARL,,LECH,,MANGO,,NATHANAEL,,
JANNYS,,KARLHEINZ,,LEIB,,MANH,,NATHANYEL,,
JANO,,KARLO,,LEIF,,MANI,,NATHEN,,
JÁNOS,,KARLOS,,LEMMY,,MANOL,,NAVE,,
JANOŠ,,KASIM,,LENHART,,MANOLIS,,NAYDAN,,
JANUSZ,,KASPIAN,,LÉO,,MANSUR,,NAZAR,,
JANUŠ,,KAŠPAR,,LEON,,MANUEL,,NAZARIJ,,
JANYS,,KAURI,,LEÓN,,MANVEL,,NAZARIY,,
JAREK,,KAVI,,LÉON,,MAPOLO,,NEBOJSA,,
JARGAL,,KAYEMBE,,LEONARD,,MARC,,NEBOJŠA,,
JARI,,KAZ,,LEONARDO,,MARCEL,,NEDŽAD,,
JARMIL,,KAZIMIERZ,,LEONEL,,MARCELLO,,NĚHOSLAV,,
JARO,,KAZIMÍR,,LEONHARD,,MARCELO,,NEIL,,
JAROLÍM,,KEES,,LEONID,,MARCIANO,,NEKLAN,,
JAROMIL,,KEIJI,,LEONIDAS,,MARCIN,,NELSON,,
JAROMIR,,KEMAL,,LEONTIJ,,MARCOS,,NEMANJA,,
JAROMÍR,,KEN,,LEONTIN,,MARCUS,,NENAD,,
JAROSLAV,,KENAN,,LEOPOLD,,MAREK,,NEON,,
JAROŠ,,KENNETH,,LEOŠ,,MARIÁN,,NEPOMUCENUS,,
JAROVÍT,,KENTO,,LEQIAN,,MÁRIAN,,NERIJUS,,
JASAN,,KENYON,,LERI,,MARIJAN,,NERO,,
JASEN,,KEP,,LEROY,,MARINO,,NESTOR,,
JASMINDER,,KEREM,,LESLAV,,MARIO,,NETANEL,,
JASON,,KERIM,,LESOMO,,MÁRIO,,NEVEN,,
