,,,,,,,,,,
SEZNAM RODOVĚ NEUTRÁLNÍCH JMEN,,,,,,,,,,
Jména A,,Jména B,,Jména C - Č,,Jména D,,Jména E,,"Pozn.: Jméno označené symbolem * obsahuje přepisovaný znak podle nařízení vlády č. 594/2006 Sb.,  o přepisu znaků do podoby, ve které se zobrazují v informačních systémech veřejné správy"
AAGTE,,BAAIKE,,CAELESTIS,,DAALI ,,EA,,
AAI,,BAB,,ÇAGDAŞ ,,DADA,,EARKE,,
AAIKE,,BABA,,ÇAGIL ,,DADI,,EASTER,,
AAJARAQ,,BACK,,ÇAGLA ,,DAGOMAR,,EBBA,,
AAJU,,BÁCK,,ÇAGLAK ,,DAGOMER,,EBBE,,
AAJUNNGUAQ ,,BACKA,,ÇAGLASIN ,,DAHL,,EBE,,
AAKA ,,BADR,,ÇAGLAYAN ,,DAIA,,EBI,,
AAKKULUK ,,BAGG,,ÇAGRI ,,DAKOTA,,EBO,,
AAL,,BAHAR,,ÇAKIR ,,DAL,,EBON,,
AAMA ,,BAHŞI ,,CALLE,,DALE,,ECE,,
AAMANNGUAQ ,,BAILEY,,CALLISTA,,DALLAS,,ECO,,
AANNGIIUK ,,BAJER,,CAMERON,,DAMIAN,,EDA,,
AAPPALITTOQ ,,BALA,,CAMILLE,,DAN,,EDAN,,
AAPPALITTUATSIAQ ,,BALACA,,CAN,,DANDY,,EDDA,,
AARTAAJIK ,,BALTA,,CANDAN,,DANH,,EDDY,,
AARUNA ,,BÄLTER,,CANDAŞ ,,DANIEL,,EDE,,
AARYA ,,BAO,,CANDIDE,,DANIELS,,EDEL,,
AAVAARTEQ ,,BAPTISTA,,CANEL,,DANILA,,EDELHARD,,
AAVIGANNGUAQ ,,BAR,,ÇANGAL ,,DANNY,,EDEN,,
AAVU ,,BARA,,CANKAT,,DANY,,EDI,,
ABA,,BARAN,,CANSOY,,DAORANA,,EDIL,,
ABBE,,BARBRO,,CAREY,,DARA,,EDIZ,,
ABEL,,BARIŞ,,CARLA,,DARCEY,,EDOU,,
ABELE,,BARKIN,,CARLI,,DARCY,,EELJE,,
ABI,,BARNA,,CARLIN,,DARIAN,,EELKE,,
ABIA,,BAŞAK ,,CARLY,,DARIN,,EELTSJE,,
ABIJOŠE ,,BAŞGÖZ ,,CARMEL,,DARIE,,EENTSJE,,
ABIOSE,,BASILIDE,,CARMINE,,DARLING,,EEP,,
ABISAG,,BAŞKUT ,,CAROL,,DARYL,,EEQINA,,
ABISCHAG,,BAST,,CARRY,,DAVID,,EFA,,
ABITAL,,BASTA,,CARY,,DAVIDE,,EFE,,
ABRAR ,,BATE,,CASEY,,DAWN,,EFER,,
ABY,,BATTISTA,,CASS,,DAYO,,EFFIE,,
AD ,,BAY,,CASSIDY,,DEA,,EGE,,
ADA,,BAYKA,,CASSIE,,DEAN,,EGLE,,
ADAN,,BAYSAL,,CASY,,DEBIR,,EHINOMEN,,
ADAR,,BÉ,,CATARIN,,DECLA,,EHSAN,,
ADDAE,,BEAT,,CATO,,DEDE,,EICKE,,
ADDI,,BEAU,,CAY,,DEDI,,EIDE,,
ADDIE,,BEBBI,,CAYDEN,,DEGER,,ÉIGID,,
ADDISON ,,BEDA,,ÇEÇEN ,,DELAJA,,EIK,,
ADDY,,BEDER,,CECIL,,DELI,,EIKE,,
ADE,,BEDIR,,CÉCILE,,DELICE,,EILEKE,,
ADEL,,BEDO,,CEEL,,DEMETER,,EILIKE,,
ADÉL,,BEGENCE,,ÇELENK ,,DENALI,,EILKE,,
ADELHELM,,BEKE,,CELESTE,,DENDY,,EINE,,
ADELI,,BEL,,CÉLESTE,,DENGIZ,,EINTJE,,
ADELIN,,BELA,,CÉLESTIN,,DENISE ,,EINTSJE,,
ADEN,,BELE,,CELESTYN,,DENIZ,,EIRIK,,
ADHIJAA ,,BELEN,,CERI,,DENNY,,EISKE,,
ADHYA ,,BENDIKT,,CERIDWEN,,DENY,,EITSJE,,
ADI,,BENDY,,CERNY,,DENYS,,EJNE,,
ADIBELLI,,BENE,,CERRY,,DEREN,,EKE,,
ADIN,,BENEK,,CEVAHIR,,DERIN,,EKIN,,
ADONIA,,BENICE,,CEVHER,,DERIN ,,EKINADOESE,,
ADRI ,,BENLI,,ÇEVIK ,,DERREN,,EKKE,,
ADRIA,,BENNY,,CIAR,,DERYA,,ELAN,,
ADRIAN,,BENŞEN ,,CIVAN,,DESI,,ELBIR,,
ADRIAN **,,BENTE,,CIVELEK,,DESIDERIE,,ELBIRLIK,,
ADRIEL,,BENY,,CLAAR,,DESIRÉ,,ELDEM,,
ADRIEN,,BERA,,CLAIR,,DETTE,,ELDRID,,
ADY,,BERAET,,CLAIRE,,DEVA,,ELEANOR,,
AEF,,BEREKET,,CLARE,,DEVI,,ELEON,,
AEGLE,,BÉRENGER,,CLARENCE,,DEVIN,,ELFRID,,
AERKE,,BERIA,,CLARRIE,,DEVLET,,ELFRIED,,
AERON,,BERIN,,CLAUDE,,DEVON,,ELGIN,,
AFACAN,,BERIVAN,,CLEM,,DEVRIM,,ELI,,
AFNAAN ,,BERKEM,,CLEMENCE,,DEWI,,ELIA,,
AFNAN ,,BERNA,,CLEMMIE,,DIAN,,ÉLIA,,
AFON,,BERNARDINE,,CLEO,,DICKEN,,ELIAN,,
AGA,,BERNI,,CLO,,DIDDE,,ELIAS,,
AGAN,,BERNIE,,CLORIS,,DIDI,,ELIE,,
AGAT,,BERNY,,CODY,,DIDO,,ELIEN,,
AGBOR,,BERRE,,COLA,,DIEKE,,ELIF,,
AGDLO ,,BERRY,,COLOMBA,,DIELKE,,ELIKE,,
AGGI,,BERTEL,,COLOMBE,,DIETBERG,,ELIN,,
AGIŞ ,,BERTHILD,,COLUMBA,,DIETE,,ELIOTT,,
AGL ,,BERTI,,CÔME ,,DIETJE,,ELIS,,
AGPA ,,BERTIE,,COMFORT,,DIETMUT,,ELISA,,
AGRIPPA ,,BERTIN,,CON,,DIEUKE,,ELISHA,,
AHINOAM,,BERTL,,CONNAL,,DIK,,ELÍŠA,,
AHSEN,,BERTY,,CONNI,,DIKEN,,ELIZA,,
AHTER,,BEŞTAŞ ,,CONNIE,,DIKMEN,,ELIZE,,
ACHINOAM,,BETE,,CONNY,,DILAN,,ELKE,,
AID ,,BETIK,,CONSTANS,,DILEK,,ELLA,,
AIDEN,,BETIKÇI ,,CONSTANTE,,DILER,,ELLE,,
AIKE ,,BETTE,,COOS,,DILFERAH,,ELLEN,,
AIKO,,BEULAH,,COR,,DILGE,,ELLI,,
AILBHE,,BEVERLE,,CORDEL,,DILMAÇ ,,ELLIOT,,
AILE,,BEVERLEY,,CORIN,,DILMAN,,ELLIS,,
AIMABLE,,BEVERLY,,CORNELL,,DIMA,,ELLO,,
AIME,,BEYDEŞ ,,CORNEY,,DINH,,ELLUS,,
AIMÉ,,BEYHAN,,CORNIE,,DIONE,,ELLY,,
AIMEE,,BEYKE,,CORNY,,DIONYS,,ELMAS,,
AINO,,BIEN,,CORRIE,,DIREN,,ELME,,
AINSLEY,,BIENE,,CORRY,,DIRIL,,ELNOR,,
AIRI,,BIENVENUE,,COSMA,,DIS,,ELS,,
AIRE,,BIEUWE,,ÇOTUR ,,DIŞBUDAK ,,ELSE,,
AIRU,,BIGUÉ,,COURTNEY,,DISGLEIRIO,,ELTJE,,
AISVARYA,,BIL,,CRIS,,DJÄKEN,,ELTJO,,
AITE,,BILGE,,CRISTEL,,DO,,ELTSJE,,
AJA,,BILGEN,,CRUZ,,DOAN,,ELVAN,,
AJAAJA ,,BILGER,,CRYSTAL,,DODO,,ELVE,,
AJAATTOQ ,,BILGI,,CUMINUS,,DOE,,ELVOR,,
AJAATTU ,,BILGIN,,CURA,,DOED,,ELVY,,
AJAATU ,,BILIŞ ,,CURTIS,,DOEIJE,,ELY,,
AJÁITO ,,BILL,,ÇUVAŞ ,,DOGANAY,,ELZA,,
AJO ,,BILLE,,CYRILLE,,DOGANGÜN,,ELZE,,
AKA ,,BILLIE,,ČIAKI ,,DÖL,,EM,,
AKAAKA ,,BILLY,,,,DOLAN,,EMANUELE,,
AKALAK ,,BILSEN,,,,DOLDE,,EME,,
AKANAY,,BINA,,,,DOLLY,,EMEK,,
AKARCA,,BINH,,,,DOLUNAY,,EMEL,,
AKARÇAY,,BINIZ,,,,DOMINIQUE,,EMELIN,,
AKARI,,BINKE,,,,DON,,EMER,,
AKARN ,,BIRÇEK ,,,,DORE,,EMERA,,
AKARTUNA,,BIRKE,,,,DORI,,EMERENCE,,
AKARTÜRK,,BIRSEL,,,,DORIAN,,EMERIE,,
AKASMA,,BIRSEN,,,,DORIEN,,EMERY,,
AKAY,,BIRTEK,,,,DORKE,,EMFRID,,
AKBAŞAK ,,BISSAN,,,,DORLE,,EMI,,
AKCAN,,BJÖNS,,,,DORLI,,EMILE,,
AKÇASU ,,BJÖR,,,,DORO,,EMILY,,
AKDES,,BLA,,,,DORON,,EMILY **,,
AKDIKEN,,BLAIR ,,,,DOSIA,,EMKE,,
AKE,,BLAISE,,,,DOUTZEN,,EMLYN,,
AKGÜN,,BLEIKE,,,,DREW,,EMORY,,
AKGÜNEŞ ,,BLESSING,,,,DUC,,ENDA,,
AKGÜNGÖR,,BLISS,,,,DUCA,,ENDER,,
AKHTAR ,,BLUE,,,,DUIFJE,,ENDRY,,
AKI,,BO,,,,DUKE,,ENDZA,,
AKIHO,,BOBBIE,,,,DULA,,ENE,,
AKIK ,,BOBBY,,,,DUN,,ENEA,,
AKIMIU ,,BÖBÜLÜK,,,,DUNDER,,ENEMONA,,
AKIRA,,BODEL,,,,DUNG,,ENERONA,,
AKISOOQ ,,BOGG,,,,DUONG,,ENGEL,,
AKISOQ ,,BOIKE,,,,DURDU,,ENGELKE,,
AKISUUNNGUAQ ,,BOJAN,,,,DURLI,,ENGINSU,,
AKITSEQ ,,BÖL,,,,DURUSU,,ENGLIKA,,
AKKAŞ ,,BOND,,,,DUSTY,,ENIOLA,,
AKKE,,BONDPÄ,,,,DUT,,ENIS,,
AKSA,,BONG,,,,DUY,,ENITAN,,
AKSEL,,BONNE,,,,DUYEN,,ENKE,,
AKSES,,BONNIE,,,,DÜZGÜN,,ENNIS,,
AKSU,,BONNY,,,,DYLAN **,,ENOSAKHARE,,
AKSUN,,BONTJE,,,,,,ENSI,,
AKTAÇ ,,BORA,,,,,,ENTE,,
