,,,,,,,,,,
SEZNAM RODOVĚ NEUTRÁLNÍCH JMEN,,,,,,,,,,
Jména J,,Jména K,,Jména L,,Jména M,,Jména N,,"Pozn.: Jméno označené symbolem * obsahuje přepisovaný znak podle nařízení vlády č. 594/2006 Sb.,  o přepisu znaků do podoby, ve které se zobrazují v informačních systémech veřejné správy"
JACE,,KAAKA,,LAAGE,,MAAI,,NAAKASSAK,,
JACKIE,,KAAKAAQ,,LAHJA,,MAANNGUAQ,,NAALU,,
JACKY,,KAAKAJIK,,LAINE,,MAAQUJUK,,NAANNGU,,
JACOB,,KAAN,,LALITA,,MAAYAN ,,NAATSOQ,,
JADA,,KAASUARNAAT,,LAM,,MAC,,NAATTAAQ,,
JADEN,,KAATAQ,,LAMIS,,MACEY,,NADEEN,,
JAE,,KAATSAANNAQ,,LAMKE,,MACKENZIE,,NAGISA,,
JAEL,,KAATSUARNAAT,,LAN,,MADDISON,,NAHED,,
JACHYM ,,KACEY,,LANCE,,MADDOX,,NAHID,,
JAIME,,KADAM,,LANE,,MADDY,,NAHNE,,
JAIMIE,,KADEK ,,LANG,,MADE,,NAHUM,,
JAK,,KADEL,,LANGNILS,,MADHAVA,,NAJAT,,
JAKOBS,,KADER,,LANNY,,MADISON,,NAKIVAT,,
JALAVA,,KAEDE,,LÄNSMANS,,MAERT,,NALL,,
JAMAL,,KAGURA,,LAONE,,MAESON,,NAMK,,
JAMÁL,,KAI,,LARIMAR,,MAGE,,NAMKE,,
JAMIE,,KAIE,,LARK,,MAGNI,,NAN,,
JAMY,,KAIHO,,LARRY,,MAGNIL,,NANAARTOQ,,
JAN,,KAILASH,,LASSAS,,MAGSERANNGUAQ,,NANAUK,,
JAN **,,KAINO,,LASSES,,MAHIRO,,NANDE,,
JANE,,KAIRI,,LAU,,MAI,,NANE,,
JANI,,KAISA,,LAUF,,MAILIN,,NANKE,,
JANICK,,KAJ,,LAURA,,MAINI,,NANNE,,
JANIS,,KAJA,,LAURE,,MAINO,,NANNI,,
JANKE,,KÁJA,,LAUREN,,MAIT,,NANT,,
JANNA,,KAJUÍNA,,LAURENCE,,MAITLAND,,NANTJE,,
JANNE,,KAJUINNA,,LAURI,,MAJO,,NANY,,
JANNI,,KAKA,,LAURIE,,MAJUUTAQ,,NAO,,
JANNICK,,KAKAKA,,LAVERNE,,MAKE,,NAOKO,,
JANNY,,KAKKAMAAQ,,LAVI,,MAKI,,NAOMI,,
JANS,,KAL,,LAVIN,,MAKKE,,NAPA,,
JANTJE,,KALA,,LE,,MAKOTO,,NAPAARTOQ,,
JANY,,KALI,,LEE,,MALAR,,NAPATARIAQ,,
JAP,,KALLE,,LÉGER,,MALLORY,,NARCIS,,
JAPKE,,KALLI,,LEI,,MALLYMKUN,,NARDE,,
JAPPE,,KALLIE,,LEIGH,,MALMURY,,NARGES,,
JARA,,KAMA,,LEINE,,MALON,,NARGIS,,
JARD,,KAMALA,,LEMKE,,MAME,,NARI,,
JARMKE,,KAMER,,LEMME,,MANAL,,NARIMAN,,
JASCHA,,KAMI,,LENNIE,,MANÁL,,NARIN,,
JASMIN,,KAMIK,,LENNOX,,MANÁR,,NARSÍNGÁTAK,,
JASMINE,,KAMSI,,LENNY ,,MANAVE,,NARSINNGATTAK,,
JAY,,KÂMURAN ,,LEO ,,MANDY,,NÄS,,
JAYE,,KANA,,LÉONCE,,MANE,,NASAASAQ,,
JEAN,,KANADE,,LEONE,,MANG,,NASH,,
JEANE,,KANAME,,LEONI,,MANGS,,NASIM,,
JEDIDIAH,,KANAU,,LES,,MANNAATSEQ,,NASIMA,,
JEDIDJA,,KANG,,LESLEY,,MANNAATTEQ,,NAT,,
JEHAD,,KANIK,,LESLIE,,MANNY,,NATA,,
JËIËL,,KANISICAK,,LEVEKE,,MANO,,NATAAQ,,
JEKFER,,KANKE,,LEVENT,,MANOU,,NATALIS,,
JELKA,,KANLICIM,,LEVI,,MANS,,NATANAEL,,
JELKE,,KANNE,,LEWE,,MANU,,NATANJA,,
JELLE,,KANON,,LEX,,MANUMINA,,NATHAN,,
JELMER,,KANWAL,,LEXA,,MAO,,NATHANIA,,
JELSKE,,KAORU,,LEXIE,,MAOILÍOSA,,NATHANIEL,,
JELSTE,,KAOS,,LEXIS,,MAQUJUK,,NATSU,,
JELTE,,KAPAR,,LEXY,,MARA,,NATSUKI,,
JELTSEN,,KARA,,LI,,MARAT,,NATTY,,
JEN,,KARABAŞ ,,LIAN,,MARCELL,,NAVALUK,,
JENKE,,KARABOGAZ,,LIANG,,MARCO,,NAYMAN,,
JENNE,,KARABUGDAY,,LIAS,,MARE,,NEANKE,,
JENNEKE,,KARACA,,LIBERTY,,MAREA,,NECDET,,
JENNI,,KARAKONCOLOS,,LIEBE,,MARESA,,NEDRET,,
JENNIS,,KARAM,,LIEL,,MARGON,,NEEL,,
JENTE,,KARATIKEN,,LIEM,,MARI ,,NEELAM,,
JENTSJE,,KAREL **,,LIEN,,MARIAN **,,NEELE,,
JERICHO,,KARELL,,LIEP,,MARIEL,,NEELKE,,
JERKEN,,KAREN ,,LIESKE,,MARIEN ,,NEELTJE,,
JERRIE,,KARI,,LIEU,,MARIJN,,NEEMA,,
JERRIT,,KARIN,,LIEUKE,,MARIN,,NEES,,
JERRY,,KARINCA,,LIEUTSKE,,MARION,,NEIS,,
JERS,,KARINDAS,,LILIAN,,MARIS,,NEL,,
JESKE,,KARLI,,LILITH,,MARLEY,,NELLIS,,
JESS,,KARLS,,LILLIAN,,MARLIN,,NEMUTLU,,
JESSE,,KAROL,,LIM,,MARS,,NEN,,
JESSIE,,KARSTJEN,,LIMKE,,MART,,NENE,,
JEŠE,,KARTAAVA,,LIN,,MARTE,,NEO,,
JETTE,,KASAI,,LIND,,MARTENS,,NEPHRITE,,
JIA,,KASHETU,,LINDE,,MARTI,,NERI,,
JIE,,KASIK,,LINDSAY,,MARTINA,,NERIMAN,,
JIIA,,KAT,,LINDSEY,,MARTINE,,NERMIN,,
JILL,,KATE,,LINDY,,MARTSEN,,NEST,,
JILLIAN,,KATTIS,,LING,,MARTY,,NEVILLE,,
JIN,,KAUSAR,,LINH,,MARTZEN,,NEVIN,,
JINÁN,,KAVYA,,LINO,,MARU,,NEVRES,,
JINDRA,,KAY,,LIOR,,MARY,,NEVRUZ,,
JING,,KAYA,,LIRON,,MAS,,NEVZAD,,
JINK,,KAYAN,,LISA,,MASA,,NEVZAT,,
JINKE,,KAYE,,LISKE,,MASAKI,,NGOC,,
JINTSJE,,KAYO,,LISLE,,MASES,,NGOZI,,
JIPPE,,KAYODE,,LISS,,MASIK,,NGÛJUK *,,
JIRKA,,KAYRA,,LISSDANILS,,MASSANNGUAQ,,NGUUJUK,,
JO,,KAZUKI,,LISSEL,,MASSERANNGUAQ,,NGUYEN,,
JOA,,KAZUNA,,LIU,,MAT,,NHAT,,
JOAN,,KAZUSA,,LIX,,MATE,,NIAQOQ,,
JOANN,,KEERSANGAQ,,LIZA,,MATHIE,,NICE,,
JOBS,,KEI,,LO,,MATHILDE,,NICEA,,
JOCELIN,,KEIT,,LOE,,MATI,,NICETA,,
JOCELYN,,KEITH,,LOEK,,MATIJA,,NICHOLAS,,
JOCELYNE,,KEITO,,LOEPKE,,MATS,,NICKI,,
JODEL,,KEKE,,LOES,,MATSURI,,NICKY,,
JODY,,KELE,,LOGAN,,MATTANJA,,NICO ,,
JOE,,KELLY,,LOGN,,MATTANJE,,NICOL,,
JOHAN,,KELSEY,,LOI,,MATTI,,NICOLA,,
JOHNNIE,,KEMA,,LOIS,,MATTIA,,NICOLAS,,
JOHNNY,,KEMIUNA,,LOK,,MATTIE,,NIDAL,,
JOHNY,,KENDALL ,,LOKI,,MATTIS,,NIHAD,,
JOKE,,KENE,,LOKKE,,MATTY ,,NIINU,,
JOLKE,,KENNE,,LOLKE,,MATY,,NIKA,,
JOLLY,,KENNEDY,,LOLO,,MAU,,NIKI,,
JOLT,,KENNIE,,LON,,MAUD,,NIKITA,,
JOLYON,,KENNY,,LONE,,MAUP,,NIKKI,,
JON,,KEOMA,,LONI,,MAURICE,,NIKO,,
JONA,,KERAMET,,LORE,,MAVSANNGUAQ,,NIKO ,,
JONAS,,KERRY,,LOREN,,MAWAKI,,NIKOL,,
JONES,,KERSTEN,,LORI,,MAX ,,NIKOLA,,
JONI,,KEVKEP,,LORIAN,,MAXENCE,,NIKSA,,
JONNIE,,KEY,,LORIN,,MAXI,,NIL,,
JONNY,,KEYVENI,,LORIS,,MAXIE,,NIMA ,,
JONS,,KEZIAH,,LOTT,,MAXIME,,NIMET,,
JÖNS,,KHANH,,LOTTE,,MAXIN,,NIN,,
JÖNSES,,KHISHIGSUREN,,LOU,,MAYA,,NINA,,
JONTE,,KIBA,,LOUIE,,MAYRUK,,NINES,,
JONY,,KID,,LOUIS,,MECKE,,NINKE,,
JOOLS,,KIDDE,,LOUISON,,MEDENI,,NINO,,
JORDAN,,KIEZA,,LOUKE,,MEENE,,NIO,,
JORI,,KILAVUN,,LOUW,,MEERA,,NISS,,
JORJA,,KILLIAN ,,LOVEDAY,,MEERAQ,,NIVIAQ,,
