,,,,,,,,,,,
SEZNAM RODOVĚ NEUTRÁLNÍCH JMEN,,,,,,,,,,,
Jména O,,Jména P,,Jména Q,,Jména R,,Jména S - Š,,"Pozn.: Jméno označené symbolem * obsahuje přepisovaný znak podle nařízení vlády č. 594/2006 Sb.,  o přepisu znaků do podoby, ve které se zobrazují v informačních systémech veřejné správy",
OANH,,PACE,,QAAMAQ,,RABAH,,SAAMAQ,,,
OBIORA,,PACEY,,QAAVIGAQ,,RAD,,SAAMIK,,,
ÖCEK,,PADDY,,QAMAR,,RADIVUS,,SAAR,,,
OCKE,,PADERAU,,QANAPPIK,,RAE,,SABA,,,
OCTAVE,,PADMA,,QARSOQ,,RAEL,,SÁBA,,,
ODE,,PAGE,,QAVAAVAK,,RAEL,,SABAH,,,
ODIEL,,PAJU,,QEQQARMIU,,RAFAEL,,SABE,,,
ODINAKACHUKWU,,PAK,,QIAJUNNGUAQ,,RAFAT,,SABIN,,,
OEKE,,PAKCHA,,QIINNIANNGAAQ,,RAFFAELE,,SABRIEL,,,
OELKE,,PAKKUTAQ,,QILLALAANNGUAQ,,RAFFERTY,,SABRIN,,,
OFIR,,PALLAS,,QILLALAAQ,,RAFIA,,SADA,,,
OFRI,,PALLEQ,,QIMIUNA,,RAHMAT,,ŞADAN ,,,
ÖGEDEY,,PALMI,,QIPÍNGE,,RAIKI,,SADORANA,,,
OGUBODI,,PALUT,,QIPINNGI,,RAIMU,,SAEK,,,
OGUGUA ,,PAMI,,QITEQ,,RAIN,,SAFA,,,
ÖGÜT,,PANDA,,QIU,,RAJA,,SAFÁ,,,
OIVA,,PANGNE,,QIVIOQ,,RAJAA,,SAFAA,,,
OK,,PANNI,,QOOQA,,RAJAB,,SAFFET,,,
OKE,,PÁPE,,QUENTIN,,RAKIME,,SAFI,,,
ÖKSÜZ,,PAPPI,,QUINN,,RALG,,SAGDIÇ ,,,
OKULDAŞ ,,PARIS,,QUINTIN,,RAMA,,SAGE,,,
OLA,,PARLA,,QUIRIEN,,RAMADAN,,SAGLIK,,,
OLAMIDE,,PARLAK,,QUNERNA,,RAMANA,,SAH,,,
OLARS,,PARLAR,,QUNERSEEQ,,RAMAZAN,,SAHAR,,,
ÖLÇEK ,,PASCAL,,QUTSULUK,,RAMU,,SACHA,,,
ÖLÇÜM ,,PASCHALIS,,QUTUK,,RAN,,SAID,,,
OLGARD,,PASCHE,,QUUIK,,RANDI,,SAÏDJA *,,,
OLIVE,,PAT,,QUY,,RANDY,,SAKARYA,,,
OLIVER,,PATAKA,,,,RANNAR,,SAKU,,,
OLKE,,PATRICE,,,,RAPHAEL **,,SAKUYA,,,
ÖLKE,,PATSY,,,,RAVAOMANANTENA,,SAL,,,
OLLA,,PATTIE,,,,RAVEN,,SALAM,,,
OLLAS,,PATTY,,,,RAY,,SALAMA,,,
OLLI,,PAULIN,,,,RAYAAN,,SALÁMA,,,
OLLIE,,PAVI,,,,RAYAN,,SALKA,,,
OLLY ,,PAVLA **,,,,RAYHAN,,SALKAN,,,
ÖLMEZ,,PAY,,,,RAYNE,,SALLI,,,
ÖLMEZBEY,,PAYAN,,,,RAYYAN,,SALLIE,,,
ÖLÜS,,PAYE,,,,REAGAN,,SALLY,,,
OMA,,PAYIDAR,,,,RECEP,,SALMAN,,,
OMEG,,PAYTON,,,,REDA,,SAM,,,
OMER,,PE,,,,REE,,SAMAN,,,
OMOBOLANLE,,PEDRUS,,,,REES,,SAMAR,,,
ÖNAY,,PEKKA,,,,REESE,,SAMAY,,,
ONERVA,,PEKŞEN ,,,,REʼFET ,,SAMAYA,,,
ÖNEY,,PELIN,,,,REFHAN,,SAMI,,,
ONKE,,PELIT,,,,REGAN,,SAMMY,,,
ONNEN,,PELL,,,,REGGIE,,SAMUEL,,,
ONNI,,PELLAS,,,,REGGY,,SAN,,,
ONNY,,PELLE,,,,REHA,,SANA,,,
ONON,,PENTECOST,,,,REI,,SANAY,,,
ONTJE,,PEPI,,,,REIMA,,SANDIE,,,
ONYX,,PEPPE,,,,REIN,,SANDIPA ,,,
OOPKE,,PEPPI,,,,REINE,,SANDY,,,
OOQUNA,,PEQILA,,,,REINKE,,SANI,,,
OPRAH,,PEQILAAQ,,,,REINSKE,,SANJA,,,
OQOOQUMMAAQ,,PEQQI,,,,REINT,,SANNE,,,
OQQAPIA,,PEQQILAAQ,,,,REINTJE,,SANNY,,,
OQUNA,,PERÇEM ,,,,REINTSJE,,SANTE,,,
OR,,PERHANS,,,,REIRA,,SAPPHIRE,,,
ORAKÇI ,,PERI,,,,REMI,,SAQQILAARTEQ,,,
ÖREN,,PERIŞAN ,,,,RÉMI,,SAQQUMMERSOQ,,,
ORI,,PEROLS,,,,REMKE,,SARA **,,,
ORIO,,PERPÉTUE,,,,REMY,,SARAN,,,
ORION,,PERRIN,,,,REN,,SARAS,,,
ORLA,,PERRY,,,,RENAGI,,SARGIS,,,
ORLIINA,,PERS,,,,RENDEL,,SARI,,,
ORMAN,,PERTEV,,,,RENE,,SARICA,,,
ÖRNEK,,PERVANE,,,,RENÉ,,SARIYAH,,,
ORSINA,,PERVIZ,,,,RENJA,,SARUCA,,,
ORTANCA,,PESEN,,,,RENKE,,SASHA,,,
OSAIBUEKU ,,PET,,,,RENS,,SASCHA,,,
OSAKWE,,PETA,,,,RENTJE,,SAŠA,,,
OSANNA,,PETEK,,,,RENTSJE,,SÁŠA,,,
OSKAY,,PETJA,,,,REONA,,SATORANA,,,
OSONDU,,PETRI ,,,,REPKE,,SATORINA,,,
OSSI,,PETTERS,,,,RES,,SATSUKI,,,
OTA,,PEYALE,,,,RESA,,SAUMIK,,,
OTAÇI ,,PEYTON,,,,REVAN,,SAVA,,,
OTANCAK,,PHAN,,,,REY,,SÁVA,,,
OTTA,,PHIL,,,,REYES,,SAYA ,,,
OTTI,,PHILIPPE ,,,,REYHAN,,SAYGE,,,
OY,,PHOENIX,,,,RHONDDA,,SAYGI,,,
OYINDAMOLA,,PHUA,,,,RIA,,SAYGIN,,,
OYNAK,,PHUONG,,,,RIAN,,SAYGUN,,,
ÖZ,,PIE,,,,RICKEL,,SAYILKAN,,,
OZ ,,PIERKE,,,,RICKY,,SAYIN,,,
ÖZALTAN,,PIERRE,,,,RICO,,SAYLAV,,,
ÖZALTIN,,PIET,,,,RIDA,,SAYRAN,,,
ÖZARI,,PICHIN,,,,RIDVAN,,SEBA,,,
ÖZBAL,,PIILANNAAT,,,,RIDWAN,,SEBASTIAN,,,
ÖZBEK,,PIITANNAAT,,,,RIE,,SEBASTIEN,,,
ÖZBIL,,PIKE,,,,RIEK,,SEBE,,,
ÖZBILEK,,PIKKULUK,,,,RIEME,,SEBIL,,,
ÖZBILEN,,PÍKULUK,,,,RIEMK,,SEBINA,,,
ÖZBILGE,,PILIKKAAQ,,,,RIEMKE,,ŞECAAT ,,,
ÖZCAN,,PILO,,,,RIENTSJE,,SEÇKIN ,,,
ÖZDAL,,PILOQ,,,,RIET,,SEÇMEN ,,,
ÖZDENER,,PILOQQUTINNGUAQ,,,,RIFAT,,SEDE,,,
