SEZNAM ŽENSKÝCH JMEN,,,,,,,,,,
Jména F,,Jména G,,Jména H,,Jména CH,,Jména I,,
FABIANA,,GÁBINA,,HADAS,,CHAMI,,IANA,,
FABIÁNA,,GABRA,,HAGIT,,CHANA,,IANTHE,,
FABIENNE,,GABRIELA,,HAIDI,,CHANTELLE,,IBOJA,,
FABIOLA,,GABRIELLA,,HAILEE,,CHARIKLIA,,IBOLYA,,
FAEZA,,GABRIELLE,,HAILEY,,CHARLENE,,ICA,,
FALATKA,,GAIA,,HAJNALKA,,CHARLINE,,IDABELLA,,
FALKA,,GAIL,,HALA,,CHARLOTA,,IFUNANYA,,
FALINE,,GAJA,,HALEY,,CHARLOTT,,IGA,,
FANI,,GAJANE,,HALINA,,CHARLOTTA,,IIRIS,,
FANNY,,GALA,,HALKA,,CHARLOTTE,,IL,,
FANY,,GALAXY,,HALYNA,,CHAVA,,ILA,,
FARAH,,GALI,,HANAMI ,,CHENAYI,,ILANA,,
FARAI,,GALIA,,HANEEN,,CHEPKWEMOI,,ILARIA,,
FARIA,,GALINA,,HANELE,,CHEROP,,ILAY,,
FARIDA,,GALIT,,HANELORA,,CHERRY,,ILDIKO,,
FATEN,,GALJA,,HANELORE,,CHERYL,,ILDIKÓ,,
FATIMA,,GAMILAH,,HANG,,CHIAMANDA,,ILEANA,,
FÁTIMA,,GANKA,,HANIČKA,,CHIARA,,ILENA,,
FATMA,,GARIKA,,HANIM,,CHINAZA,,ILGA,,
FATUMA,,GAYA,,HANKA,,CHLOE,,ILIANA,,
FATY,,GAYANE,,HANNA,,CHLOË,,ILITHYIA,,
FAUNA,,GEFEN,,HANNAH,,CHIMDIMMA,,ILJANA,,
FAUSTÝNA,,GEMMA,,HANNELORA,,CHÖKYI,,ILKA,,
FAY,,GENESIS,,HANNELORE,,CHRISANTI,,ILLARY,,
FEDERICA,,GENEVE,,HANUŠE,,CHRISTA,,ILLIYEEN,,
FEDERIKA,,GENEVIEVE,,HANUŠKA,,CHRISTABEL,,ILLONA,,
FEDORA,,GENNARA,,HANY,,CHRISTIANA,,ILONA,,
FEI,,GENOVEFA,,HANYA,,CHRISTIANE,,ILONKA,,
FELICIA,,GENOVEVA,,HARIKA,,CHRISTIN,,ILSA,,
FELICIE,,GENOVÉVA,,HARLOW,,CHRISTINA,,ILSE,,
FELICITA,,GENOWEFA,,HARMONY,,CHRISTINE,,ILUŠE,,
FELICITAS,,GENTIANA,,HARPER,,CHRISTINNE,,IMAN,,
FELIXA,,GEORGETTE,,HARRIET,,CHRISTL,,IMANA,,
FENJA,,GEORGINA,,HARUNA,,CHRISULA,,IMELDA,,
FERDA,,GEORGÍNA,,HASMIK,,CHRYSTYNA,,IMMACOLATA,,
FERDINANDA,,GERALDINA,,HÁTA,,,,IMRA,,
FERNANDA,,GERDA,,HATICE,,,,INA,,
FEY,,GERGANA,,HAYA,,,,INANNA,,
FILIPA,,GERLINDA,,HAYLEE,,,,INAYAH,,
FILIPÍNA,,GERLINDE,,HAYLEY,,,,INBAL,,
FILIPKA,,GERTA,,HAZEL,,,,INDIRA,,
FILIPPA,,GERTRAUD,,HEDA,,,,INÉS,,
FILOMENA,,GERTRAUDA,,HEDVA,,,,INESA,,
FILOMÉNA,,GERTRUD,,HEDVIGA,,,,INESS,,
FIONA,,GERTRUDA,,HEDVIKA,,,,INESSA,,
FIORELLA,,GERTRÚDA,,HEIDE,,,,INEZ,,
FIORENTINA,,GERTRUDE,,HEIDELIES,,,,INÉZ,,
FIRUZA,,GIADA,,HEIDELINDE,,,,INGA,,
FLAVIA,,GIANG,,HEIDEMARIE,,,,INGEBORG,,
FLEURVIE,,GIANNA,,HEIDI,,,,INGEBORGA,,
FLORA,,GILDA,,HEIDRUN,,,,INGEBURG,,
FLÓRA,,GINA,,HEL,,,,INGRID,,
FLORENCIA,,GINETTE,,HELA,,,,INGRIDA,,
FLORENTINA,,GINEVRA,,HELEN,,,,INGRIT,,
FLORENTÝNA,,GINIKA,,HELENA,,,,INKA,,
