SEZNAM ŽENSKÝCH JMEN,,,,,,,,,,
Jména J,,Jména K,,Jména L,,Jména M,,Jména N,,
JACQUELINA,,KA,,LADA,,MABEL,,NAAMA,,
JACQUELINE,,KADIATOU,,LADĚNA,,MADALENA,,NADA,,
JADE,,KAFA,,LADISLAVA,,MADALENE,,NAĎA,,
JADRANA,,KAIA,,LAĎKA,,MADDALENA,,NADAL,,
JADRANKA,,KAIDA,,LADOMIRA,,MADDI,,NADĚJE,,
JADVIGA,,KAILA,,LADUŠE,,MADDIE,,NADĚNA,,
JADWIGA,,KAIRA,,LADY,,MADELAINE,,NADĚNKA,,
JADZIA,,KAITLYN,,LAERKE,,MADELEINE,,NADEZDA,,
JAIA,,KAJETÁNA,,LAETITIA,,MADELINE,,NADEŽDA,,
JAMELIA,,KALINA,,LAGERTHA,,MADINA,,NADĚŽDA,,
JAMILA,,KALIOPI,,LAHJA,,MADLA,,NADIA,,
JANA,,KAMELIA,,LAIA,,MADLEN,,NADIJA,,
JÁNA,,KAMILA,,LAILA,,MADLENA,,NADINE,,
JANAI,,KAMILLA,,LAJLA,,MADLENKA,,NADIYA,,
JANET,,KAMILYA,,LAKA,,MAE,,NADJA,,
JANETA,,KAMINI,,LAKE,,MAELINE,,NADZEYA,,
JANETTA,,KANI,,LALIKA,,MAESIE,,NAEMI,,
JANETTE,,KANITA,,LAMIA,,MAEVA,,NAHIA,,
JANIČKA,,KANTU,,LAMIAH,,MAEVE,,NAIA,,
JANIKA,,KANY,,LANA,,MAGALI,,NAIARA,,
JANINA,,KARIMA,,LANE,,MAGDA,,NAILA,,
JANINE,,KARÍMA,,LANEY,,MAGDALENA,,NAIMI,,
JANKA,,KARINA,,LANI,,MAGDALÉNA,,NAIMIE,,
JANULA,,KARÍNA,,LARA,,MAGDALENE,,NAIOMI,,
JANUŠE,,KARINE,,LARIN,,MAGDALINA,,NAIRA,,
JAQUELINE,,KARINI,,LARISA,,MAGGIE,,NAIROBI,,
JARIA,,KARLA,,LARISSA,,MAGNEA,,NAIVELIN,,
JARKA,,KARMELA,,LARITA,,MAGNOLIA,,NALA,,
JARMILA,,KARMEN,,LARYSA,,MAHA,,NALANI,,
JARMILKA,,KAROLA,,LATJA,,MAHEŠVARÍ,,NALEYA,,
JAROMILA,,KAROLIN,,LAUREL,,MAHULENA,,NALIA,,
JAROMÍRA,,KAROLINA,,LAURELIE,,MAIA,,NAMÚN,,
JAROSLAVA,,KAROLÍNA,,LAURENCIE,,MAIALEN,,NANA,,
JARUŠE,,KAROLINE,,LAURENE,,MAIDA,,NANCY,,
JARUŠKA,,KAROLYN,,LAURENIA,,MAIKE,,NANETA,,
JARYNA,,KARYN,,LAURIANA,,MAILA,,NANI,,
JASANA,,KASANDRA,,LAURISE,,MAILY,,NANIJA,,
JASEMIN,,KASHTA,,LAVINIA,,MAIRA,,NANKLING,,
JASMIJN,,KASSANDRA,,LAYAN,,MAISA,,NANTENIN,,
JASMÍN,,KASY,,LAYLA,,MAITE,,NANY,,
JASMINA,,KAŤA,,LAYLAH,,MAITRI,,NAOMI,,
JASMÍNA,,KÁŤA,,LEA,,MAIWENN,,NARA,,
JASMINKA,,KATALEYA,,LÉA,,MAJA,,NARCISA,,
JASNA,,KATALIN,,LEAH,,MÁJA,,NARCISKA,,
JASNĚNA,,KATARINA,,LEANDRA,,MAJDA,,NARE,,
JASNUŠE,,KATARÍNA,,LEANKA,,MAJDALENA,,NARINE,,
JASNUŠKA,,KATARZYNA,,LEEN,,MAJDALÉNA,,NARYA,,
JAYDIN,,KATERI,,LEFTERIA,,MAJJA,,NASANJY,,
JAYLA,,KATERINA,,LEI,,MAJKA,,NASŤA,,
JEANETA,,KATERYNA,,LEIA,,MAJLA,,NASTASSIA,,
JEANETTA,,KATEŘINA,,LEILA,,MAKKAH,,NASTYA,,
JEANETTE,,KATHALEA,,LEILANI,,MALAIKA,,NASUA,,
JEANNE,,KATHARINA,,LEILLA,,MALAK,,NATA,,
JEANNETTA,,KATHARINE,,LEISA,,MALEN,,NATALE,,
JEANNETTE,,KATHERINA,,LEITH,,MALENA,,NATALEE,,
JEANNINE,,KATHERINE,,LEJLA,,MALÉNA,,NATALI,,
JEKATERINA,,KATHLEEN,,LELA,,MALGORZATA,,NATALIA,,
JEKATĚRINA,,KATHRIN,,LELIANA,,MAŁGORZATA,,NATÁLIA,,
JELA,,KATHRYN,,LEMON,,MALI,,NATALIE,,
JELENA,,KATHY,,LENA,,MALIA,,NATÁLIE,,
JELENKA,,KATIA,,LÉNA,,MÁLIA,,NATALIJA,,
JELISAVETA,,KATIE,,LENEA,,MALIE,,NATALIYA,,
JELIZAVETA,,KATINA,,LENI,,MALIKA,,NATALJA,,
JELYZAVETA,,KATJA,,LENKA,,MALINA,,NATALKA,,
JENA,,KATKA,,LENNA,,MALITA,,NATALLIA,,
JENIČKA,,KATRIN,,LENNIE,,MALKA,,NATALLY,,
JENIFER,,KATRINA,,LENNY,,MALLA,,NATALY,,
JENIFFER,,KATRINE,,LENTE,,MALLIKA,,NATALYA,,
JENKA,,KATSIARYNA,,LENY,,MALVINA,,NATANIAH,,
JENNA,,KATUŠE,,LEOKADIA,,MALVÍNA,,NATANIELA,,
JENNAH,,KATY,,LEOKADIE,,MANALU,,NATASHA,,
JENNIFER,,KATYA,,LEOKÁDIE,,MANISHA,,NATASCHA,,
