SEZNAM ŽENSKÝCH JMEN,,,,,,,,,,,
Jména O,,"Jména P, Q",,Jména R,,Jména S,,Jména  Š,,,
ODA,,PAIGE,,RABIA,,SAANVI,,ŠARKA,,,
ODAMEA,,PAISIJA,,RADANA,,SABINA,,ŠÁRKA,,,
ODELIA,,PALOMA,,RÁDHA,,SABÍNA,,ŠARLOTA,,,
ODEM,,PAMELA,,RADIMA,,SABINE,,ŠAROLTA,,,
ODETA,,PANAJOTA,,RADIMÍRA,,SABIRA,,ŠIMONA,,,
ODETTA,,PAOLA,,RADISLAVA,,SABRINA,,ŠIRÍN,,,
ODETTE,,PAR,,RADKA,,SABRINE,,ŠÍRÍN,,,
ODONA,,PARAS,,RADMILA,,SADIE,,ŠKOLASTIKA,,,
OKSANA,,PARASKA,,RADOMILA,,SAFIA,,ŠOŠA,,,
OLA,,PARATHENA,,RADOMÍRA,,SAFIEH,,ŠOŠANA,,,
OLDŘICHA,,PARISA,,RADOSLAVA,,SAFIJA,,ŠPELA,,,
OLDŘIŠKA,,PARTENA,,RADOVANA,,SAFIYA,,ŠTEFANA,,,
OLEKSANDRA,,PASCALINE,,RADSLAVA,,SAFIYE,,ŠTEFANIA,,,
OLENA,,PATRICIA,,RADUŠE,,SAGA,,ŠTEFÁNIA,,,
OLESIA,,PATRÍCIA,,RADVANA,,SÁGA,,ŠTEFANIE,,,
OLESJA,,PATRICIE,,RAELYNN,,SAHRA,,ŠTEFÁNIE,,,
OLESSIA,,PATRÍCIE,,RAFAELA,,SAILA,,ŠTEFANKA,,,
OLESYA,,PATRIKA,,RAHEL,,SALA,,ŠTĚPA,,,
OLEXANDRA,,PATRIZIA,,RACHEL,,SALIMA,,ŠTĚPÁNA,,,
OLGA,,PATRYCJA,,RÁCHEL,,SALMA,,ŠTĚPÁNKA,,,
OĽGA,,PAULA,,RACHELE,,SALOME,,,,,
OLHA,,PAULINA,,RAIFA,,SALOMEA,,,,,
OLI,,PAULÍNA,,RAINA,,SALOMINA,,,,,
OLIMPIA,,PAULINE,,RAISA,,SALOUA,,,,,
OLINA,,PAVLINA,,RÁJA,,SAMANTA,,,,,
OLINKA,,PAVLÍNA,,RAJANA,,SAMANTHA,,,,,
OLIVA,,PAVLINKA,,RAJISA,,SAMARA,,,,,
OLIVERA,,PAYA,,RAJKA,,SAMIA,,,,,
OLIVIA,,PEGGY,,RAJNA,,SAMIRA,,,,,
OLÍVIA,,PELAGIA,,RALITSA,,SAMÍRA,,,,,
OLIVIE,,PENELOPA,,RAM,,SAMUELA,,,,,
OLÍVIE,,PENELOPE,,RAMONA,,SANCIA,,,,,
OLIWIA,,PENKA,,RAMUNÉ,,SANDRA,,,,,
OLJA,,PEPPE,,RAMYA,,SANELA,,,,,
OLO,,PERL,,RANA,,SANEM,,,,,
OLUŠA,,PERLA,,RANIA,,SANNA,,,,,
OLUŠE,,PERLUŠE,,RAQUEL,,SANTAL,,,,,
OLUŠKA,,PERLUŠKA,,RAVIT,,SANTINA,,,,,
OLUWARANTIMI,,PERSEPHONE,,RAYA,,SAOIRSE,,,,,
OLWEN,,PETJA,,RAYEN,,SÁRA,,,,,
OLWENN,,PETRA,,RAYME,,SARAH,,,,,
OLYMPIA,,PETRANA,,RAYMI,,SARAI,,,,,
OLYMPIE,,PETROMILA,,RAYMONDA,,SARASVATI,,,,,
ONDŘEJKA,,PETRONELA,,REA,,SARIT,,,,,
OONA,,PETRONELLA,,REAGAN,,SARITA,,,,,
ORA,,PETRONILA,,REBECA,,SARONA,,,,,
ORESTA,,PETRUŠE,,REBECCA,,SARRA,,,,,
ORIANA,,PETRUŠKA,,REBEKA,,SASKIA,,,,,
ORIT,,PETTIE,,REBEKKA,,SASKIE,,,,,
ORNELA,,PETTY,,REEM,,SATINE,,,,,
ORNELLA,,PĚVA,,REENA,,SATU,,,,,
OROSIA,,PĚVUŠE,,REESE,,SAVINA,,,,,
ORYSJA,,PĚVUŠKA,,REGINA,,SAYAKA,,,,,
OSAHENRUMWEN,,PHOEBE,,REGÍNA,,SAYAT,,,,,
OSNAT,,PIA,,REHOBOTH,,SAYEN,,,,,
OTAKARA,,PIHLA,,REI,,SAZAN,,,,,
OTILIA,,PINELOPI,,REID,,SCARLET,,,,,
OTÍLIA,,PIPPILOTTA,,REINA,,SCARLETT,,,,,
OTILIE,,PIROSKA,,REINGARD,,SEDA,,,,,
OTÍLIE,,PIROŠKA,,REINGARDA,,SEIKA,,,,,
OTTILIA,,POLA,,RÉKA,,SEIRA,,,,,
OTTILIE,,POLIMNIA,,RELA,,SELENA,,,,,
