,,,,,,,,,,
SEZNAM MUŽSKÝCH JMEN,,,,,,,,,,
Jména A,,Jména B,,"Jména C, Č",,Jména D,,Jména E,,
AADAR,,BACH,,CADEN,,DAE,,EAMONN,,
AAMIR,,BAJSANGUR,,CAILEAN,,DAG,,EBERHARD,,
AARAV,,BALAM,,CAIRO,,DAGOBERT,,EBU,,
AARON,,BALDR,,CALVIN,,DACHI,,ECTOR,,
AASIM,,BALRAM,,CAMILO,,DAIMOND,,ED,,
ABBAS,,BALRÁM,,CANO,,DAKSH,,EDARD,,
ABDALLA,,BALTAZAR,,CAREEM,,DALIBOR,,EDDIE,,
ABDALLAH,,BAO NAM,,CAREL,,DALIMIL,,EDEM,,
ABDELKADER,,BARABÁŠ,,CARL,,DALIMÍR,,EDEY,,
ABDIEL,,BARAK,,CARLO,,DAMARI,,EDGAR,,
ABDO,,BARBAROS,,CARLOS,,DAMIÁN,,EDGARD,,
ABDUL,,BARNABÁŠ,,CARMINE,,DAMIANO,,EDIN,,
ABDULLA,,BARRY,,CARTER,,DAMIEN,,EDIS,,
ABDULLAH,,BART,,CASIANO,,DAMIJAN,,EDMON,,
ABDULMALEK,,BARTŁOMIEJ,,CASPIAN,,DAMIR,,EDMOND,,
ABDULRAHMAN,,BARTOLOMEJ,,ĆAZIM,,DAMÍR,,EDMUND,,
ABHAY,,BARTOLOMĚJ,,CEDRIC,,DAMJAN,,EDOARDO,,
ABIJÁŠ,,BARTOLOMEU,,CÉDRIC,,DAMON,,EDON,,
ABRAHAM,,BARUCH,,CEDRIK,,DAMYR,,EDOUARD,,
ABRAHÁM,,BASHAR,,CELESTIN,,DANČO,,EDRIK,,
ADALBERT,,BASIL,,CELESTÝN,,DANE,,EDUARD,,
ADAM,,BASSAM,,CEVIN,,DANEŠ,,EDUÁRD,,
ÁDÁM,,BASTIAN,,CID,,DANI,,EDUARDO,,
ADE,,BASTIEN,,CILLIAN,,DANIAL,,EDVARD,,
ADEGBOYEGA,,BATU,,CLARK,,DANICK,,EDVIN,,
ADEI,,BAYU,,CLAUDIO,,DANIËL,,EDVÍN,,
ADEM,,BEDRICH,,CLELAND,,DÁNIEL,,EDWARD,,
ADHAM,,BEDŘICH,,CLOVIS,,DANIELE,,EDWIN,,
ADIAN,,BEKIM,,COCHISE,,DANIIL,,EETU,,
ADIL,,BEKIR,,COLIN,,DANIJEL,,EFOSA,,
ADNAN,,BÉLA,,COLLIN,,DANIL,,EFRAIM,,
AĎO,,BELLO,,CONAN,,DANILO,,EFRAJIM,,
ADOLF,,BELO,,CONG THANH,,DANIS,,EFREN,,
ADONIS,,BEN,,CONNOR,,DANKO,,EGON,,
ADRIÁN,,BENEDICT,,CONOR,,DANNIEL,,EGOR,,
ADRIANO,,BENEDIKT,,CONSTANTIN,,DANTE,,EHUD,,
ADRIAS,,BENEŠ,,COREY,,DANYLO,,EILON,,
ADRIK,,BENET,,CORNELL,,DAO,,EINAR,,
ADVIK,,BENIAMIN,,CORRADO,,DAREK,,EITAN,,
ADYAN,,BENITO,,CORVINUS,,DAREN,,EIVAR,,
AEDAN,,BENJAMIN,,CORWIN,,DARIJAN,,EKI,,
AENEAS,,BENJAMÍN,,CRISTIAN,,DARIO,,EL,,
AFONSO,,BENNET,,CRISTIÁN,,DARÍO,,ELAD,,
AFRIM,,BENNETT,,CRISTIANO,,DARIS,,ELANG,,
AGAMJOT,,BENNO,,CRISTOPHER,,DARISLAV,,ELDAR,,
AGASI,,BENO,,CSABA,,DARIUS,,ELEMÉR,,
AGIM,,BENYAMIN,,CTIBOR,,DÁRIUS,,ELEMÍR,,
AGUNG,,BEREN,,CTIMÍR,,DARIUSZ,,ELIAKIM,,
AGUSTIN,,BERG,,CTIRAD,,DARJAN,,ELIAM,,
AHLIDDIN,,BERNARD,,CTISLAV,,DARKO,,ELIÁN,,
AHMAD,,BERNARDO,,CUONG,,DARKON,,ELÍAS,,
