,,,,,,,,,,
SEZNAM ŽENSKÝCH JMEN,,,,,,,,,,
Jména A,,Jména B,,"Jména C, Č",,Jména D,,Jména E,,
AALIYAH,,BABETA,,CAITIR,,DAFINA,,EBRU,,
AAMU,,BABETTE,,CAITLIN,,DAFNA,,ECATERINA,,
AARIFA,,BABY,,CALEDONIA,,DAFNÉ,,ECE,,
AASE,,BAELI,,CAMELIA,,DAFNI,,EDALYN,,
ABBIE,,BAJA,,CAMILA,,DAGI,,EDELGARD,,
ABBY,,BALBÍNA,,CAMILLA,,DAGMAR,,EDELINE,,
ABBYGAIL,,BANI,,CANDICE,,DAGMARA,,EDELTRAUD,,
ABENA,,BÁRA,,CANSU,,DAHLIA,,EDELTRAUDA,,
ABIGAEL,,BARAKA,,CARIN,,DAIANA,,EDELTRAUT,,
ABIGAIL,,BARBARA,,CARINA,,DAISY,,EDELTRUD,,
ABISHAG,,BÄRBEL,,CARINE,,DAJA,,EDELTRUDA,,
ABÍŠAG,,BARBIE,,CARINNE,,DÁJA,,EDINA,,
ADAEZE,,BARBORA,,CARLOTTA,,DAJANA,,EDIT,,
ADALIND,,BAREAN,,CARMEN,,DAJÁNA,,EDITA,,
ADARA,,BARUNKA,,CARMIT,,DALENA,,EDITH,,
ADEA,,BAYA,,CAROLA,,DALIA,,EDITHA,,
ADEDOLA,,BEA,,CAROLE,,DALIBORA,,EDNA,,
ADEDUNNI,,BEATA,,CAROLIN,,DALIDA,,EDUARDA,,
ADEL,,BEÁTA,,CAROLINA,,DALIE,,EDYTA,,
ADELA,,BEATE,,CAROLINE,,DALILA,,EEVA,,
ADÉLA,,BEATHA,,CAROLYN,,DALIMILA,,EFRAT,,
ADELAIDA,,BEATRICA,,CARRIE,,DALIT,,EIDA,,
ADELAIDE,,BEATRICE,,CARROL,,DALIYA,,EILA,,
ADELE,,BÉATRICE,,CASSANDRA,,DAMARIS,,EILEE,,
ADÉLE,,BEATRICIE,,CASTILLE,,DAMIANA,,EILEEN,,
ADELHAIDA,,BEATRIS,,CATALEYA,,DAMIÁNA,,EILIS,,
ADELHEID,,BEATRIX,,CATALINA,,DANA,,EINAT,,
ADELHEIDA,,BEATRIZ,,CATARINA,,DAŇA,,EINAV,,
ADÉLIA,,BEATTA,,CATERINA,,DÁŇA,,EIRA,,
